numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
201822855U;Maladies Infectieuses et tropicales dans la Caraïbe;MAITC;2018;Unité propre;21;2;;Laboratoire de Virologie-immunologie, CHU de Fort-de-France, BP632;97261;Fort-de-France cedex;CESAIRE;Raymond;DIR;EA 7524;Université des Antilles;ANTILLES;UNIV;Université;9710585J;19971585500011;TUTE;établissement tutelle;;;;;;;5;Biologie, médecine et santé;LS6;Immunity and infection : immunobiology, aetiology of immune disorders, microbiology, virology, parasitology, global and other infectious diseases, population dynamics of infectious diseases, veterinary medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822855U&PUBLIC=OK
199812904P;UMR 8576 - Unité de glycobiologie structurale et fonctionnelle;UGSF;1998;Unité mixte;22;2;http://ugsf-umr-glycobiologie.univ-lille1.fr;Bâtiment C9;59655;VILLENEUVE D ASCQ CEDEX;GUERARDEL;Yann;;"UMR 8576;UMR 8576;USC 1409";"Centre national de la recherche scientifique;Université de Lille;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement";"CNRS;LILLE;INRAE";"EPST;UNIV;EPST";"Organismes de type EPST;Université;Organismes de type EPST";"0753639Y;0597065J;";"18008901303720;13002358300011;18007003901803";"TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement participant";"202023975C;202023974B;202023973A;202023972Z;202023971Y;202023970X;202023969W;202023967U;202023966T;202023965S;202023964R;202023963P;202023962N";;;;;;"4;5";"Chimie;Biologie, médecine et santé";"LS1;LS2;LS6;LS5";"Molecular and Structural Biology and Biochemistry : molecular biology, biochemistry, biophysics, structural biology, biochemistry of signal transduction;Genetics, Genomics, Bioinformatics and Systems Biology : genetics, population genetics, molecular genetics, genomics, transcriptomics, proteomics, metabolomics, bioinformatics, computational biology, biostatistics, biological modelling and simulation, sys;Immunity and infection : immunobiology, aetiology of immune disorders, microbiology, virology, parasitology, global and other infectious diseases, population dynamics of infectious diseases, veterinary medicine;Neurosciences and neural disorders : neurobiology, neuroanatomy, neurophysiology, neurochemistry, neuropharmacology, neuroimaging, systems neuroscience, neurological disorders, psychiatry";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199812904P&PUBLIC=OK
201922952V;Institut Français de Recherche sur l’Asie de l’Est;IFRAE;2019;Unité mixte;22;2;;INSTITUT NATIONAL DES LANGUES ET CIVILISATIONS ORIENTALES 2 rue de Lille;75007;PARIS;"LUCKEN;POISSON;KIM";"Michael;Emmanuel;Hui-Yeon";"Directeur;directeur adjoint;directrice adjointe";"UMR 8043;UMR 8043;UMR 8043";"Institut National des Langues et Civilisations Orientales Paris;Centre national de la recherche scientifique;Université de Paris";"INALCO PARIS;CNRS;U PARIS";"AUT_ETAB;EPST;UNIV";"Autres établissements ESR;Organismes de type EPST;Université";"0753488J;0753639Y;0755976N";"19753488600092;18008901303720;13002573700011";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";;;"199213453M;201019087H";"fusion;fusion";"F;F";"2019;2019";6;Sciences humaines et humanités;SH4;The Human Mind and its complexity : cognition, psychology, linguistics, philosophy and education;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201922952V&PUBLIC=OK
201922980A;Laboratoire de Biochimie;LBC;2014;Equipe interne;1;1;;10 rue Vauquelin;75005;PARIS;GRIFFITHS;Andrew;;";";"Ecole Supérieure de Physique et Chimie Industrielle de la Ville de Paris;Centre national de la recherche scientifique";"ESPCI PARIS;CNRS";"AUT_ETAB;EPST";"Autres établissements ESR;Organismes de type EPST";"0753429V;0753639Y";"20000068500012;18008901303720";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;201420759H;;;;;"4;5";"Chimie;Biologie, médecine et santé";PE4;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201922980A&PUBLIC=OK
201223045B;Maladies des céréales;MDC;2012;Equipe interne;1;1;http://www6.clermont.inra.fr/umr1095/;5 chemin de Beaulieu;63039;Clermont-Ferrand Cedex 2;LANGIN;Thierry;Directeur;;Université Clermont Auvergne;CLERMONT AUVERGNE;UNIV;Université;0632035V;13002277500014;TUTE;établissement tutelle;;200017467R;;;;;"5;10";"Biologie, médecine et santé;Sciences agronomiques et écologiques";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201223045B&PUBLIC=OK
199812852H;UMR 8524 - LPP - Laboratoire Paul Painlevé;;1998;Unité mixte;22;2;http://math.univ-lille1.fr/;;59655;VILLENEUVE D ASCQ CEDEX;FRESSE;Benoît;DIR;"UMR 8524;UMR 8524;UMR 8524";"Centre national de la recherche scientifique;Université de Lille;Institut national de la recherche en informatique et automatique";"CNRS;LILLE;INRIA";"EPST;UNIV;EPST";"Organismes de type EPST;Université;Organismes de type EPST";"0753639Y;0597065J;0780491K";"18008901303720;13002358300011;18008904700013";"TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement participant";"200623836M;200623835L;200623834K;200623833J;200623832H;202023564F;201521771D;201020969D;200718287B;199812852H";"201019182L;199812852H";;;;;1;Mathématiques et leurs interactions;PE1;Mathematical foundations : all areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199812852H&PUBLIC=OK
201220082F;GÉNÉTIQUE, GÉNOMIQUE FONCTIONNELLE ET BIOTECHNOLOGIES;UMR_S1078;2012;Unité mixte;22;2;http://www.univ-brest.fr/umr1078;Faculté de médecine - UMR 1078 - Bât IBRBS (2e étage) - 22 avenue Camille Desmoulins;29200;BREST CEDEX 3;GENIN;Emmanuelle;Directrice;"U 1078;U 1078;U 1078;U 1078";"Université de Brest;Institut national de la sante et de la recherche medicale;Etablissement Français du Sang;Centre Hospitalier Régional Universitaire de Brest";"BREST;INSERM;EFS;CHRU BREST";"UNIV;EPST;EPA;MEDIC";"Université;Organismes de type EPST;Etablissement public à caractère administratif;Etablissements de santé";"0290346U;0755364Y;0932598U;";"19290346600014;18003604800015;42882285202140;20002305900013";"TUTE;TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement participant";;;;;;;5;Biologie, médecine et santé;"LS4;LS3;LS2;LS1";"Physiology, Pathophysiology and Endocrinology : organ physiology, pathophysiology, endocrinology, metabolism, ageing, regeneration, tumorigenesis, cardiovascular disease, metabolic syndrome;Cellular and Developmental Biology : cell biology, cell physiology, signal transduction, organogenesis, developmental genetics, pattern formation in plants and animals;Genetics, Genomics, Bioinformatics and Systems Biology : genetics, population genetics, molecular genetics, genomics, transcriptomics, proteomics, metabolomics, bioinformatics, computational biology, biostatistics, biological modelling and simulation, sys;Molecular and Structural Biology and Biochemistry : molecular biology, biochemistry, biophysics, structural biology, biochemistry of signal transduction";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201220082F&PUBLIC=OK
200311828Y;LABORATOIRE DES FLUIDES COMPLEXES ET LEURS RESERVOIRS;LFCR;2003;Unité mixte;22;2;https://lfc.univ-pau.fr;Avenue de l'Université - BP1155;64013;PAU CEDEX;GALLIERO;Guillaume;Directeur;"UMR 5150;UMR 5150;UMR 5150";"Université Pau et Pays de l'Adour;Centre national de la recherche scientifique;Groupe Total";"PAU;CNRS;TOTAL";"UNIV;EPST;PRIVE";"Université;Organismes de type EPST;Société de droit privé française";"0640251A;0753639Y;";"19640251500270;18008901303720;54205118000066";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";;200710692W;;;;;"1;3";"Mathématiques et leurs interactions;Sciences de la terre et de l'univers, espace";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200311828Y&PUBLIC=OK
201622147H;Institut de Recherche Dupuy de Lôme;IRDL;2016;Unité mixte;22;2;https://irdl.fr/;Université de Bretagne-Sud, Centre de recherche HUYGENS, Rue Saint-Maudé, BP 92116;56321;LORIENT cedex;"MANACH;CALLOCH";"Pierre-Yves;Sylvain";"DIR;DIR-ADJ";"UMR 6027;FRE 3744;UMR 6027;UMR 6027;FRE 3744";"Ecole Nationale Ingénieurs Brest;Université de Brest;Université Bretagne Sud;Centre national de la recherche scientifique;Ecole nationale supérieure de techniques avancées Bretagne";"ENI BREST;BREST;BRETAGNE-SUD;CNRS;ENSTA BRETAGNE";"AUT_ETAB;UNIV;UNIV;EPST;AUT_ETAB";"Autres établissements ESR;Université;Université;Organismes de type EPST;Autres établissements ESR";"0290119X;0290346U;0561718N;0753639Y;0290125D";"19290119700025;19290346600014;19561718800600;18008901303720;19290125400016";"TUTE;TUTE;TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle";;;"200815487D;200815555C";"fusion;fusion";"F;F";"2016;2016";8;Sciences pour l'ingénieur;PE5;Materials and synthesis : materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201622147H&PUBLIC=OK
201722902Z;Site de recherche intégrée en oncologie (SIRIC) de Bordeaux;BRIO;2017;Structures Fédératives de Recherche;3;3;;;;;SOUBEYRAN;Pierre;;;CHU Hôpitaux de Bordeaux;CHU BORDEAUX;MEDIC;Etablissements de santé;;26330582300019;TUTE;établissement tutelle;;;;;;;;;LS3;Cellular and Developmental Biology : cell biology, cell physiology, signal transduction, organogenesis, developmental genetics, pattern formation in plants and animals;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722902Z&PUBLIC=OK
201822920P;Pôle Spécialités Chirurgicales;;2018;Equipe interne;1;1;;;;;DARROUZET;Vincent;;;CHU Hôpitaux de Bordeaux;CHU BORDEAUX;MEDIC;Etablissements de santé;;26330582300019;TUTE;établissement tutelle;;;;;;;;;LS4;Physiology, Pathophysiology and Endocrinology : organ physiology, pathophysiology, endocrinology, metabolism, ageing, regeneration, tumorigenesis, cardiovascular disease, metabolic syndrome;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201822920P&PUBLIC=OK
202023584C;Centre de Primatologie de la Méditerranée;;2020;Unité mixte;22;2;;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE 31 chemin Joseph Aiguier;13009;MARSEILLE;"BROCHIER;LACOSTE";"Thomas;Romain";"DIR;Directeur adjoint";"UMS 2018;";"Centre national de la recherche scientifique;Université Aix-Marseille";"CNRS;AIX-MARSEILLE";"EPST;UNIV";"Organismes de type EPST;Université";"0753639Y;0134009M";"18008901303720;13001533200013";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=202023584C&PUBLIC=OK
