numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
200710692W;Institut Pluridisciplinaire de recherche appliquée en génie pétrolier;IPRA;2005;Structures Fédératives de Recherche;3;3;https://ipra.univ-pau.fr/fr/index.html;Avenue de l'Université - BP1155;64013;PAU CEDEX;MOONEN;Peter;;";FR 2952";"Université Pau et Pays de l'Adour;Centre national de la recherche scientifique";"PAU;CNRS";"UNIV;EPST";"Université;Organismes de type EPST";"0640251A;0753639Y";"19640251500270;18008901303720";"TUTE;TUTE";"établissement tutelle;établissement tutelle";"201121821A;201119411F;199513639B;200511822H;200311828Y";;;;;;"1;3;8";"Mathématiques et leurs interactions;Sciences de la terre et de l'univers, espace;Sciences pour l'ingénieur";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710692W&PUBLIC=OK
200710696A;INSTITUT DE CHIMIE DE LYON;ICL;2007;Structures Fédératives de Recherche;3;3;http://www.iclyon.fr/;43 Boulevard du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;"ANDRIOLETTI;PINEL";"Bruno;Catherine";"DIR;Directrice adjointe";";;FR 3023;;FR 3023;;;;";"Université Jean Monnet Saint-Etienne;Institut National des Sciences Appliquées Lyon;Université Claude Bernard Lyon 1;Ecole Supérieure de Chimie Physique Electronique de Lyon;Centre national de la recherche scientifique;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Ecole Normale Supérieure de Lyon;Centre National d'Etude Spatiales;Arianegroup SAS";"SAINT-ETIENNE;INSA LYON;LYON 1;CPE LYON;CNRS;INRAE;ENS LYON;CNES;ARIANEGROUP";"UNIV;AUT_ETAB;UNIV;AUT_ETAB;EPST;EPST;AUT_ETAB;EPIC;PRIVE";"Université;Autres établissements ESR;Université;Autres établissements ESR;Organismes de type EPST;Organismes de type EPST;Autres établissements ESR;Organismes de type EPIC;Société de droit privé française";"0421095M;0690192J;0691774D;0693623N;0753639Y;;0694123G;0752743Z;";"19421095100423;19690192000013;19691774400019;39189510900026;18008901303720;18007003901803;13000812100019;77566591200082;51903224700123";"TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;PART;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant";"202123703C;201320570G;201119453B;200711921G;200711911W;200711890Y;200311854B;199911703E;199512045U;199411772B;197311954R";;;;;;"2;4;5;8";"Physique;Chimie;Biologie, médecine et santé;Sciences pour l'ingénieur";PE5;Materials and synthesis : materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710696A&PUBLIC=OK
200810702C;Fédération de recherche pour l'environnement et le développement durable;FR EDD;2008;Structures Fédératives de Recherche;3;3;http://fredd.univ-larochelle.fr/;23 avenue Albert EINSTEIN - BP 33060;17031;LA ROCHELLE CEDEX;"ROUVELLAC;GARCIA";"Eric;Pascale";"DIR-ADJ;DIR";";;;FR 3097;";"Université La Rochelle;Université Poitiers;Université Limoges;Centre national de la recherche scientifique;Institut Francais de Recherche pour l'Exploitation de la Mer";"LA ROCHELLE;POITIERS;LIMOGES;CNRS;IFREMER";"UNIV;UNIV;UNIV;EPST;EPIC";"Université;Université;Université;Organismes de type EPST;Organismes de type EPIC";"0171463Y;0860856N;0870669E;0753639Y;0922262J";"19170032700015;19860856400375;19870669900321;18008901303720;33071536800032";"TUTE;TUTE;TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant";;;;;;;"8;10";"Sciences pour l'ingénieur;Sciences agronomiques et écologiques";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810702C&PUBLIC=OK
201521769B;Computational Anatomy and Simulation for Medicine;MIMESIS;2015;Unité propre;21;2;http://www.inria.fr/equipes/mimesis;;54600;Villers lès Nancy;Cotin;Stephane;;;Institut national de la recherche en informatique et automatique;INRIA;EPST;Organismes de type EPST;0780491K;18008904700013;TUTE;établissement tutelle;;;;;;;9;Sciences et technologies de l'information et de la communication;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201521769B&PUBLIC=OK
200710646W;Matière et Nanosciences;;2003;Structures Fédératives de Recherche;3;3;http://www.cnano-rhone-alpes.org/;17 rue des martyrs;38054;GRENOBLE CEDEX 9;SANQUER;Marc;DIR;"FR 2601;FR 2601";"Commissariat à l'énergie atomique et aux énergies alternatives;Université Grenoble Alpes";"CEA;GRENOBLE ALPES";"EPIC;UNIV";"Organismes de type EPIC;Université";"0912281K;0383546Y";"77568501900587;13002608100013";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;;;;;2;Physique;PE4;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710646W&PUBLIC=OK
200610662T;Institut de recherche en sciences et techniques de la ville;IRSTV;2002;Structures Fédératives de Recherche;3;3;https://irstv.ec-nantes.fr/;1 rue de la Noë;44321;NANTES CEDEX 3;"INARD;CALMET;MUSY;BECHET";"Christian;Isabelle;Marjorie;Béatrice";"DIR-ADJ;DIR-ADJ;DIR-ADJ;DIR";";;;;;FR 2488;;;;FR 2488;;FR 2488;";"Université La Rochelle;Ecole Centrale de Nantes;Ecole Nationale Supérieure d'Architecture de Nantes;Université Nantes;Le Mans Université;Centre national de la recherche scientifique;Institut mines télécom;Ecole nationale supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire;Université Gustave Eiffel;Conservatoire National des Arts et Métiers Paris;Centre Scientifique et Technique du Bâtiment;BRGM;Agrocampus Ouest";"LA ROCHELLE;EC. CENTRALE NANTES;EC. ARCHI. NANTES;NANTES;LE MANS;CNRS;MinesTélécom;IMT Atlantique;UNIV.G.EIFFEL;CNAM PARIS;CSTB;BRGM;AGROCAMPUS OUEST";"UNIV;AUT_ETAB;AUT_ETAB;UNIV;UNIV;EPST;AUT_ETAB;AUT_ETAB;UNIV;AUT_ETAB;EPIC;EPIC;AUT_ETAB";"Université;Autres établissements ESR;Autres établissements ESR;Université;Université;Organismes de type EPST;Autres établissements ESR;Autres établissements ESR;Université;Autres établissements ESR;Organismes de type EPIC;Organismes de type EPIC;Autres établissements ESR";"0171463Y;0440100V;0440104Z;0440984F;0720916E;0753639Y;0755661W;0292355C;0772894C;0753471R;0942226J;0755363X;0352692L";"19170032700015;19440100600011;19440104800021;19440984300019;19720916600010;18008901303720;18009202500089;18009202500121;13002612300013;19753471200017;77568822900027;40070693300019;13000512700019";"TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;PART;PART;PART;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant;établissement participant";;;;;;;"6;8";"Sciences humaines et humanités;Sciences pour l'ingénieur";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200610662T&PUBLIC=OK
200310671R;INSTITUT DE CHIMIE MOLECULAIRE DE GRENOBLE;ICMG;2003;Structures Fédératives de Recherche;3;3;http://icmg.univ-grenoble-alpes.fr/;570 rue de la chimie -ICMG-;38041;GRENOBLE CEDEX 9;DEFRANCQ;Eric;DIRECTEUR;"UAR 2607;";"Centre national de la recherche scientifique;Université Grenoble Alpes";"CNRS;GRENOBLE ALPES";"EPST;UNIV";"Organismes de type EPST;Université";"0753639Y;0383546Y";"18008901303720;13002608100013";"TUTE;TUTE";"établissement tutelle;établissement tutelle";"200711915A;199911754K;196617508H";;;;;;4;Chimie;PE4;Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200310671R&PUBLIC=OK
200410852H;Maison Asie Pacifique;MAP;1999;Unité mixte;22;2;http://www.maison-asie-pacifique.fr/;3 place Victor Hugo;13003;MARSEILLE;"BERTAUX-PICHARD;REVOLON";"Louise;Sandra";"DIR;Dir Adj";"UMS 1885;UMS 1885";"Centre national de la recherche scientifique;Université Aix-Marseille";"CNRS;AIX-MARSEILLE";"EPST;UNIV";"Organismes de type EPST;Université";"0753639Y;0134009M";"18008901303720;13001533200013";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;;;;;"6;7";"Sciences humaines et humanités;Sciences de la société";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410852H&PUBLIC=OK
200410858P;Juriscope - accès aux droits étrangers et promotion du droit français et du droit francophone;Juriscope;2000;Structures Fédératives de Recherche;3;3;http://www.juriscope.org/;23 avenue René Cassin - BP 90164;86962;FUTUROSCOPE CEDEX - CHASSENEUIL DU POITOU;GAZEAU;Daniel;DIR;"UMS 2268;UMS 2268;UMS 2268";"Université Poitiers;Ministère de la justice;Ministère des affaires étrangères";"POITIERS;MIN.JUST;MIN.A.E.";"UNIV;AUT_OP_FR;AUT_OP_FR";"Université;Autre opérateur de droit français;Autre opérateur de droit français";"0860856N;;";"19860856400375;11001001400014;11000601200014";"TUTE;PART;PART";"établissement tutelle;établissement participant;établissement participant";;;;;;;7;Sciences de la société;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200410858P&PUBLIC=OK
200810873N;Observatoire des sciences de l'univers en région Centre-Val de Loire;OSUC;2008;Structures Fédératives de Recherche;3;3;http://www.univ-orleans.fr/osuc/;1 A rue de la Férolerie;45071;ORLEANS CEDEX 2;MOREIRA;Manuel;Directeur;"UMS 3116;UMS 3116;UMS 3116;UMS 3116";"Université Orléans;Centre national de la recherche scientifique;Observatoire Paris;Université Paris sciences et lettres";"ORLEANS;CNRS;OBSV.PARIS;PSL";"UNIV;EPST;AUT_ETAB;UNIV";"Université;Organismes de type EPST;Autres établissements ESR;Université";"0450855K;0753639Y;0753496T;0756036D";"19450855200016;18008901303720;19753496900013;13002614900018";"TUTE;TUTE;PART;PART";"établissement tutelle;établissement tutelle;établissement participant;établissement participant";"201220223J;201220213Y;199519805D";;;;;;3;Sciences de la terre et de l'univers, espace;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810873N&PUBLIC=OK
200710877X;Consortium de Recherches pour l'Emergence des Technologies Avancées;CRETA;1999;Structures Fédératives de Recherche;3;3;http://creta.grenoble.cnrs.fr;25 rue des Martyrs, BP 166;38042;GRENOBLE CEDEX 9;"BEAUGNON;SULPICE;SULPICE";"Eric;André;Andre";"DIR;DIR;DIR";UPS 2070;Université Grenoble Alpes;GRENOBLE ALPES;UNIV;Université;0383546Y;13002608100013;TUTE;établissement tutelle;;;;;;;"2;4;8";"Physique;Chimie;Sciences pour l'ingénieur";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710877X&PUBLIC=OK
200012121E;Génie Enzymatique et Cellulaire. Reconnaissance Moléculaire et Catalyse;GEC;2013;Unité mixte;22;2;http://www.utc.fr/umr6022;UNIVERSITE DE TECHNOLOGIE DE COMPIEGNE, CENTRE DE RECHERCHES - BAT F, CS 60319;60203;COMPIEGNE CEDEX;"SARAZIN;HAUPT";"Catherine;Karsten";"Responsable Amiénois;DIR";"FRE 3580;UMR 7025;UMR 7025";"Université de Technologie de Compiègne;Centre national de la recherche scientifique;Université Picardie Jules-Verne Amiens";"UT COMPIEGNE;CNRS;AMIENS";"UNIV;EPST;UNIV";"Université;Organismes de type EPST;Université";"0601223D;0753639Y;0801344B";"19601223100169;18008901303720;19801344300017";"TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement participant";;;;;;;10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012121E&PUBLIC=OK
200012173L;LABORATOIRE ANGEVIN DE RECHERCHE EN MATHEMATIQUES;LAREMA;2000;Unité mixte;22;2;http://math.univ-angers.fr/;2 Bd Lavoisier;49045;ANGERS CEDEX 01;MANGOLTE;Frédéric;DIR;"UMR 6093;UMR 6093";"Université Angers;Centre national de la recherche scientifique";"ANGERS;CNRS";"UNIV;EPST";"Université;Organismes de type EPST";"0490970N;0753639Y";"19490970100303;18008901303720";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;200810693T;;;;;1;Mathématiques et leurs interactions;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200012173L&PUBLIC=OK
200810765W;MAISON DE LA RECHERCHE EN SCIENCES DE L'HOMME ET DE LA SOCIÉTÉ;FED4118;2008;Structures Fédératives de Recherche;3;3;;"Université de Bretagne Occidentale
UFR Lettres et Sciences Humaines
20 rue Duquesne
CS 93837";29238;BREST CEDEX 3;;;;FED 4118;Université de Brest;BREST;UNIV;Université;0290346U;19290346600014;TUTE;établissement tutelle;;;;;;;6;Sciences humaines et humanités;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810765W&PUBLIC=OK
200710776M;INSTITUT FÉDÉRATIF DE RECHERCHE SUR LE HANDICAP;IFRH;2007;Structures Fédératives de Recherche;3;3;http://ifr-handicap.inserm.fr;GH Pitié-Salpétrière - 47, Boulevard de l'Hôpital - Bat de l'ancienne prison des folles;75651;PARIS CEDEX 13;"PUDLO;BAKOUCHE";"Philippe;Wade";"DR;DIR-ADJ";"IFR 25;IFR 25;IFR 25;IFR 25;IFR 25;IFR 25;IFR 25;IFR 25;IFR 25";"Université Rennes 2;Université Jean Monnet Saint-Etienne;Université Claude Bernard Lyon 1;Institut national de la sante et de la recherche medicale;Institut national d'études démographiques;Université de Lorraine;Université de Bordeaux;Université de Lille;Université de Paris";"RENNES 2;SAINT-ETIENNE;LYON 1;INSERM;INED;LORRAINE;BORDEAUX;LILLE;U PARIS";"UNIV;UNIV;UNIV;EPST;EPST;UNIV;UNIV;UNIV;UNIV";"Université;Université;Université;Organismes de type EPST;Organismes de type EPST;Université;Université;Université;Université";"0350937D;0421095M;0691774D;0755364Y;0755360U;0542493S;0333298F;0597065J;0755976N";"19350937900015;19421095100423;19691774400019;18003604800015;18003702000021;13001550600012;13001835100010;13002358300011;13002573700011";"TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle";;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710776M&PUBLIC=OK
200710800N;QUALITÉ DES ALIMENTS ET SENSORIALITES;IFR92;2007;Structures Fédératives de Recherche;3;3;;;21079;Dijon Cedex;;;;"IFR 92;IFR 92;IFR 92";"Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;AgroSup Dijon, Inst Nat Sup Sciences Agronomiques Alimentaton Environnement;Université Bourgogne Franche-Comté";"INRAE;AGROSUP DIJON;UBFC";"EPST;AUT_ETAB;SITE";"Organismes de type EPST;Autres établissements ESR;Site";";0212198A;0251985X";"18007003901803;13000604200019;13002091000019";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";;;;;;;10;Sciences agronomiques et écologiques;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200710800N&PUBLIC=OK
200610822S;Institut Paris-Saclay D'innovation thérapeutique;IPSIT;2006;Structures Fédératives de Recherche;3;3;;UNIVERSITE PARIS-SUD 11 Faculté de Pharmacie 5, rue Jean-Baptiste Clément;92296;CHATENAY MALABRY CEDEX;BRION;Jean-Daniel;DIR;"IFR 141;IFR 141;IFR 141";"Institut national de la sante et de la recherche medicale;Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;Université Paris-Saclay";"INSERM;INRAE;U PARIS-SACLAY";"EPST;EPST;UNIV";"Organismes de type EPST;Organismes de type EPST;Université";"0755364Y;;0912408Y";"18003604800015;18007003901803;13002602400013";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";201019138N;;;;;;5;Biologie, médecine et santé;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200610822S&PUBLIC=OK
200810834W;Maison des Sciences de l'Homme Ange-Guépin;MSH Ange-Guépin;2012;Structures Fédératives de Recherche;3;3;http://www.msh.univ-nantes.fr;5 allée Jacques Berque;44021;NANTES CEDEX 1;"CAPLAN;LECLERC";"Raoul;Arnauld";"Directeur-Adjoint;DIRECTEUR";"USR 3491;;;USR 3491";"Université Nantes;Université Angers;Le Mans Université;Centre national de la recherche scientifique";"NANTES;ANGERS;LE MANS;CNRS";"UNIV;UNIV;UNIV;EPST";"Université;Université;Université;Organismes de type EPST";"0440984F;0490970N;0720916E;0753639Y";"19440984300019;19490970100303;19720916600010;18008901303720";"TUTE;TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle";;;;;;;"6;7";"Sciences humaines et humanités;Sciences de la société";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200810834W&PUBLIC=OK
200711906R;LABORATOIRE DE BIOLOGIE ET MODELISATION DE LA CELLULE;LBMC;2007;Unité mixte;22;2;http://www.ens-lyon.fr/LBMC/;46 allee d'Italie;69364;LYON CEDEX 07;"AUBOEUF;YVERT";"Didier;Gaël";"Directeur;Directeur adjoint";"UMR 5239;UMR 5239;UMR 5239;U 1210;UMR 5239;";"Université Claude Bernard Lyon 1;Centre national de la recherche scientifique;Ecole Normale Supérieure de Lyon;Institut national de la sante et de la recherche medicale;Hospices Civils de Lyon;Université Grenoble Alpes";"LYON 1;CNRS;ENS LYON;INSERM;HCL - CHU LYON;GRENOBLE ALPES";"UNIV;EPST;AUT_ETAB;EPST;MEDIC;UNIV";"Université;Organismes de type EPST;Autres établissements ESR;Organismes de type EPST;Etablissements de santé;Université";"0691774D;0753639Y;0694123G;0755364Y;0693209N;0383546Y";"19691774400019;18008901303720;13000812100019;18003604800015;26690027300019;13002608100013";"TUTE;TUTE;TUTE;PART;PART;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement participant;établissement participant;établissement participant";;"200716498G;201119599K";"200316981Z;200315006C;200316981Z";"éclatement - fusion;éclatement - fusion;renouvellement";"EF;EF;R";"2007;2007;2007";5;Biologie, médecine et santé;LS3;Cellular and Developmental Biology : cell biology, cell physiology, signal transduction, organogenesis, developmental genetics, pattern formation in plants and animals;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711906R&PUBLIC=OK
200711910V;LABORATOIRE ECOLOGIE FONCTIONNELLE ET ENVIRONNEMENT;ECOLAB;2006;Unité mixte;22;2;http://www.ecolab.omp.eu/;118 route de Narbonne;31062;TOULOUSE CEDEX 9;"CEREGHINO;GILBERT";"Régis;Franck";"Directeur;Directeur-adjoint";"UMR 5245;UMR 5245;UMR 5245";"Institut National Polytechnique Toulouse;Université Toulouse 3 - Paul Sabatier;Centre national de la recherche scientifique";"INP TOULOUSE;TOULOUSE 3;CNRS";"AUT_ETAB;UNIV;EPST";"Autres établissements ESR;Université;Organismes de type EPST";"0311381H;0311384L;0753639Y";"19311381800127;19311384200010;18008901303720";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";;200719584L;"200314984D;200311849W;200311844R";"fusion;fusion;fusion";"F;F;F";"2007;2007;2007";"3;10";"Sciences de la terre et de l'univers, espace;Sciences agronomiques et écologiques";"PE10;LS9";"Earth system science : physical geography, geology, geophysics, meteorology, oceanography, climatology, ecology, global environmental change, biogeochemical cycles, natural resources management;Applied life sciences and biotechnology: agricultural, animal, fishery, forestry and food sciences;biotechnology, chemical biology, genetic engineering, synthetic biology, industrial biosciences;environmental biotechnology and remediation";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711910V&PUBLIC=OK
200711919E;INSTITUT DES SCIENCES ANALYTIQUES ET DE PHYSICO-CHIMIE POUR L'ENVIRONNEMENT ET LES MATERIAUX;IPREM;2006;Unité mixte;22;2;https://iprem.univ-pau.fr;HELIOPARC - 2 avenue du Président Angot;64053;PAU CEDEX 9;"LOBINSKI;BILLON";"Ryszard;Laurent";"Directeur;Directeur Adjoint";";UMR 5254;UMR 5254";"Ecole Nationale Supérieure des Mines d'Alès;Université Pau et Pays de l'Adour;Centre national de la recherche scientifique";"IMT MINES ALES;PAU;CNRS";"AUT_ETAB;UNIV;EPST";"Autres établissements ESR;Université;Organismes de type EPST";"0300063F;0640251A;0753639Y";"18009202500113;19640251500270;18008901303720";"TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle";;201120480T;"200114800M;199911758P;199911726E;199512053C";"fusion;fusion;fusion;fusion";"F;F;F;F";"2007;2007;2007;2007";;;"PE4;PE5";"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;Materials and synthesis : materials synthesis, structure-properties relations, functional and advanced materials, molecular architecture, organic chemistry";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711919E&PUBLIC=OK
200711923J;LABORATOIRE DU FUTUR;LOF;2007;Unité mixte;22;2;http://www.lof.cnrs.fr/;178 avenue du Docteur Schweitzer;33608;PESSAC CEDEX;"GUILLOT;LENG";"Pierre;Jacques";"DR;DIR-ADJ";"UMR 5258;UMR 5258;UMR 5258;UMR 5258";"Centre national de la recherche scientifique;Groupe Rhodia;Université de Bordeaux;Institut Polytechnique Bordeaux";"CNRS;RHODIA;BORDEAUX;Bordeaux INP";"EPST;PRIVE;UNIV;AUT_ETAB";"Organismes de type EPST;Société de droit privé française;Université;Autres établissements ESR";"0753639Y;;0333298F;0333232J";"18008901303720;64201452600619;13001835100010;13000635600013";"TUTE;TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement tutelle;établissement participant";;;;;;;;;"PE4;PE3";"Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics;Condensed matter physics : structure, electronic properties, fluids, nanosciences";https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200711923J&PUBLIC=OK
199412029F;DYNAMIQUE DU LANGAGE;;1995;Unité mixte;22;2;http://www.ddl.ish-lyon.cnrs.fr/;14 avenue Berthelot;69363;LYON CEDEX 07;GUILLAUME;Antoine;DIR;"UMR 5596;UMR 5596";"Université Lumière Lyon 2;Centre national de la recherche scientifique";"LYON 2;CNRS";"UNIV;EPST";"Université;Organismes de type EPST";"0691775E;0753639Y";"19691775100014;18008901303720";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;"200219848V;201119599K";;;;;6;Sciences humaines et humanités;SH4;The Human Mind and its complexity : cognition, psychology, linguistics, philosophy and education;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199412029F&PUBLIC=OK
199512032E;GEOGRAPHIE DE L'ENVIRONNEMENT;GEODE;1995;Unité mixte;22;2;http://w3.geode.univ-tlse2.fr/;5 allées Antonio Machado;31058;TOULOUSE CEDEX 9;"PY-SARAGAGLIA;BAL;GALOP";"Vanessa;Marie-Claude;Didier";"Directrice;Directrice adjointe;DIR";"UMR 5602;UMR 5602;";"Université Toulouse - Jean Jaurès;Centre national de la recherche scientifique;Institut national universitaire Jean-François Champollion";"TOULOUSE 2;CNRS;INU CHAMPOLLION";"UNIV;EPST;AUT_ETAB";"Université;Organismes de type EPST;Autres établissements ESR";"0311383K;0753639Y;0811293R";"19311383400017;18008901303720;19811201300018";"TUTE;TUTE;PART";"établissement tutelle;établissement tutelle;établissement participant";;;;;;;6;Sciences humaines et humanités;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512032E&PUBLIC=OK
199512037K;AUSONIUS - INSTITUT DE RECHERCHE SUR L'ANTIQUITE ET LE MOYEN AGE;IRAM;1995;Unité mixte;22;2;http://www-ausonius.u-bordeaux-montaigne.fr;8 esplanade des Antilles;33607;PESSAC CEDEX;"DEVILLERS;LAVAUD";"Olivier;Sandrine";"Directeur;Directrice adjointe";"UMR 5607;UMR 5607";"Université Bordeaux Montaigne;Centre national de la recherche scientifique";"BORDEAUX 3;CNRS";"UNIV;EPST";"Université;Organismes de type EPST";"0331766R;0753639Y";"19331766600017;18008901303720";"TUTE;TUTE";"établissement tutelle;établissement tutelle";;;;;;;6;Sciences humaines et humanités;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512037K&PUBLIC=OK
199512085M;Environnements et paléoenvironnements océaniques et continentaux;EPOC;1997;Unité mixte;22;2;http://www.epoc.u-bordeaux.fr;Allée Geoffroy Saint Hilaire;33615;PESSAC CEDEX;"GREMARE;CORREGE";"Antoine;Thierry";"DR;DIR-ADJ";"UMR 5805;UMR 5805;UMR 5805;UMR 5805";"Centre national de la recherche scientifique;Université de Bordeaux;Ecole Pratique des Hautes Etudes Paris;Université Paris sciences et lettres";"CNRS;BORDEAUX;EPHE PARIS;PSL";"EPST;UNIV;AUT_ETAB;UNIV";"Organismes de type EPST;Université;Autres établissements ESR;Université";"0753639Y;0333298F;0753486G;0756036D";"18008901303720;13001835100010;19753486000105;13002614900018";"TUTE;TUTE;PART;PART";"établissement tutelle;établissement tutelle;établissement participant;établissement participant";200310864A;200310864A;;;;;"2;4;5";"Physique;Chimie;Biologie, médecine et santé";;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199512085M&PUBLIC=OK
199412070A;HISTOIRE ET ARCHEOLOGIE DES MONDES CHRETIENS ET MUSULMANS MEDIEVAUX;CIHAM;1995;Unité mixte;22;2;http://ciham.ish-lyon.cnrs.fr/;14 avenue Berthelot;69363;LYON CEDEX 07;"NICOUD;AILLET;CARRIER;BURESI";"Marylin;Cyrille;Nicolas;Pascal";"Directrice;Directeur adjoint;Directeur adjoint;Directeur adjoint";"UMR 5648;UMR 5648;UMR 5648;UMR 5648;UMR 5648;UMR 5648";"Université Lumière Lyon 2;Université Jean Moulin Lyon 3;Ecole des Hautes Etudes en Sciences Sociales Paris;Université Avignon et Pays du Vaucluse;Centre national de la recherche scientifique;Ecole Normale Supérieure de Lyon";"LYON 2;LYON 3;EHESS PARIS;AVIGNON;CNRS;ENS LYON";"UNIV;UNIV;AUT_ETAB;UNIV;EPST;AUT_ETAB";"Université;Université;Autres établissements ESR;Université;Organismes de type EPST;Autres établissements ESR";"0691775E;0692437Z;0753742K;0840685N;0753639Y;0694123G";"19691775100014;19692437700019;19753742600011;19840685200204;18008901303720;13000812100019";"TUTE;TUTE;TUTE;TUTE;TUTE;TUTE";"établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle;établissement tutelle";;201420876K;;;;;6;Sciences humaines et humanités;SH6;The study of the human past : archaeology, history and memory;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199412070A&PUBLIC=OK
